Models,layer,pooling,accuracy,f1,freq_diff,cohens_h
,29,,0.9789213668176204,0.9789957335083688,0.0546101620718368,0.3735295591997003
,30,,0.9794153972828324,0.979494750656168,0.0501201043425232,0.3539118590329271
,31,,0.9788390284067516,0.9788111138593454,0.0534857469377694,0.317019101055195
Qwen3-8B-Base,0,mean_pool,0.8353231782626596,0.8293224099675712,0.2843825940537245,0.6691946457777374
,1,,0.8695759571840264,0.8659444820582262,0.2543911212019477,0.6570208494350314
,2,,0.8881020996294772,0.883895771038018,0.2534327673777159,0.6734752747474597
,3,,0.8968299711815562,0.8884337993054937,0.3126738391814258,0.7832565553211464
,4,,0.9212844792095513,0.917157712305026,0.2592837275522123,0.7271440789763077
,5,,0.9375051461506791,0.9360949734781512,0.1944533921923974,0.6528248037411313
,6,,0.9389048991354468,0.9394681024636972,0.125537948610627,0.516640002768427
,7,,0.9472210786331824,0.9477630184989,0.1023405841436658,0.4675173169657345
,8,,0.9515026759983533,0.95117300837271,0.1313460929775273,0.5269670214511564
,9,,0.9539728283244132,0.9537289959440444,0.1135091075625119,0.4568648731695188
,10,,0.952079044874434,0.9515726410384424,0.1269264612494933,0.5031221094983414
,11,,0.9559489501852614,0.955360867751356,0.1162685263399246,0.4407572300869806
,12,,0.9574310415808976,0.957577746779355,0.0889408369570045,0.4110980756931792
,13,,0.9573487031700288,0.9574433125205388,0.0908651474124246,0.4173786843141669
,14,,0.9587484561547962,0.958802730038648,0.0896174867761178,0.4073072225801941
,15,,0.9579250720461095,0.9574627486889205,0.1141505443809853,0.4587380583202205
,16,,0.9606422396047756,0.960554546954943,0.0813668406375633,0.3668174423628532
,17,,0.9616303005351996,0.9614302267836452,0.1093611761462332,0.4969651742275784
,18,,0.9617126389460684,0.9616747712849254,0.0940195120038317,0.4374552136479059
,19,,0.961053931659119,0.9610859728506788,0.0946257358216654,0.4466221089146107
,20,,0.9609715932482504,0.96048024012006,0.1128324577433989,0.459882863090058
,21,,0.9614656237134624,0.9613925094868834,0.089529454274518,0.4227998189138011
,22,,0.9594071634417456,0.9598501506637348,0.0701983172187171,0.3740281252492998
,23,,0.9622066694112804,0.9622253312484568,0.0818674254534774,0.3906342165625238
,24,,0.9492795389048992,0.9501618122977348,0.078519389358551,0.408155598179257
,25,,0.9593248250308768,0.9594083812654068,0.0837741294085776,0.4002749465741844
,26,,0.9587484561547962,0.9586872268491796,0.0870693460025441,0.3961339071374969
,27,,0.956772334293948,0.9567224466243508,0.0985447827337853,0.4451799464996457
,28,,0.9547962124331,0.9547962124331,0.0922888730519307,0.3997676009293567
,29,,0.9496088925483738,0.9488550894200234,0.1195637429338911,0.4405974161276691
,30,,0.9529024289831206,0.9531147540983608,0.093466107686958,0.4197194354751299
,31,,0.9471387402223136,0.9460866644272756,0.1389124864900121,0.4824084175960248
,32,,0.9482914779744752,0.9477798104107766,0.1125607574316437,0.4156627792290339
,33,,0.9443392342527788,0.9431932773109244,0.1326917898087973,0.4486133345344676
,34,,0.9459860024701524,0.9453059863264964,0.1120601726157297,0.4015500785475918
,35,,0.9526554137505148,0.9527254789114528,0.0973675480987581,0.4235675927210538
Qwen3-8B-Base,0,last_token,0.7893783449979416,0.7824829931972789,0.3601425646348631,0.8192239684112814
,1,,0.8612597776862907,0.8575775505029161,0.2906713158498117,0.7497137066648019
,2,,0.8866200082338411,0.8849912302681032,0.2735790053687821,0.8038181517662724
,3,,0.9076986414162208,0.9061689126977484,0.2376937565349126,0.7207026025229584
,4,,0.9241663235899548,0.9230640715061398,0.2099006953367183,0.6825083152585347
,5,,0.9317414573898724,0.9312204430432256,0.1750694356356367,0.6256473066527257
,6,,0.9367641004528612,0.9360745796570668,0.1807367279999775,0.6576944946776755
,7,,0.9413750514615068,0.9411959035348528,0.1537611686234558,0.594520412086371
,8,,0.950843968711404,0.9505590062111802,0.1268560352482136,0.5142712483082459
,9,,0.953314121037464,0.953314121037464,0.0936949921911169,0.3881452557204112
,10,,0.9549608892548374,0.9551823023351086,0.0814372666388429,0.3577144108714774
,11,,0.9579250720461095,0.957786038826931,0.1024990426465451,0.4394733209158041
,12,,0.9586661177439276,0.958505538105472,0.0892049344618033,0.3741114637619658
,13,,0.9582544256895842,0.957809769493218,0.1135443205631518,0.4521861006936118
,14,,0.9609715932482504,0.9608329201784828,0.080207212502856,0.3472706078636975
,15,,0.9622066694112804,0.9621568142468464,0.0952319596394989,0.4563850740374855
,16,,0.961053931659119,0.9610154125113328,0.0737224183168425,0.3341002038535419
,17,,0.961300946891725,0.9609958506224068,0.0936245661898372,0.3967783409541896
,18,,0.9619596541786744,0.9618560105680316,0.0997572303694523,0.463086378259137
,19,,0.961300946891725,0.961214721901304,0.0940723315047915,0.4277356441562521
,20,,0.9629477151090984,0.9628774129681572,0.0800311474996567,0.3700123880702084
,21,,0.961794977356937,0.961766644693474,0.0888704109557249,0.4241131921043917
,22,,0.9597365170852202,0.9595098120394138,0.0954608441436578,0.4149018874237322
,23,,0.9607245780156444,0.9607762519529645,0.0749172594521897,0.3499955535621035
,24,,0.9577603952243722,0.9575436563767276,0.0986856347363446,0.4223499138232105
,25,,0.9586661177439276,0.9585808580858086,0.0921480210493713,0.421537811822859
,26,,0.9574310415808976,0.9573537903159284,0.0897231257780373,0.3915987289551852
,27,,0.9568546727048168,0.9567585410133684,0.08656876118663,0.3743963475444491
,28,,0.9553725813091808,0.95522141440846,0.0872806240063831,0.3680231530688385
,29,,0.954302181967888,0.9541587511357066,0.0790299778678288,0.3319085974745017
,30,,0.9537258130918074,0.9536914963744232,0.0916298297331374,0.4001881998422765
,31,,0.9536434746809388,0.9534749194281464,0.0948722268261442,0.4054384903680867
,32,,0.9532317826265954,0.9531121017005116,0.0866744001885495,0.3620583110378232
,33,,0.95232606010704,0.952113142006451,0.0975612196022771,0.3979256114894682
,34,,0.955290242898312,0.955090563228848,0.1031404794650184,0.4414407774971711
,35,,0.955537258130918,0.9551867219917012,0.1057942592405115,0.43646033384903
Qwen2.5-3B,0,mean_pool,0.853684643886373,0.8518796365758107,0.240261197492639,0.6918978247775516
,1,,0.8637299300123508,0.8609126817379612,0.2643814698264589,0.7713047878995094
,2,,0.8820913956360642,0.88264218980495,0.1908462765015059,0.6480687622152219
,3,,0.883902840675175,0.8814926878466969,0.2146324590191595,0.6573403824237012
,4,,0.8899958830794565,0.8881634019755567,0.218801832432022,0.7032242155598687
,5,,0.8956772334293948,0.8949158165381106,0.1952451257476947,0.6707917221507396
,6,,0.910580485796624,0.9102775941837408,0.1687558528992415,0.6226411832146672
,7,,0.9161794977356936,0.9147546474627366,0.1738684394799672,0.6139408786472549
,8,,0.9304240428159736,0.929846409298464,0.1507554985615578,0.5903387282108068
,9,,0.9402223137093454,0.9400594451783356,0.1120112038200977,0.466807073041187
,10,,0.9491972004940304,0.9489534210308596,0.1004952290961858,0.4430612338138395
,11,,0.9494442157266364,0.9494733377221856,0.0944411166699006,0.4389586465570549
,12,,0.9484561547962124,0.9485451257603156,0.1003197475765833,0.4790001732505624
,13,,0.9522437216961712,0.9522869364922673,0.0963376669394504,0.4661707141466795
,14,,0.95356113627007,0.9536260483473114,0.0884140014004775,0.4305389534275261
,15,,0.9534787978592012,0.9534711356336985,0.0918983219579687,0.4420876280174179
,16,,0.9568546727048168,0.95701394585726,0.0734542018543672,0.3847040639511565
,17,,0.955784273363524,0.9555205831193572,0.0885219900279251,0.4095255047519286
,18,,0.9547138740222314,0.9544324772162386,0.0984096987286026,0.4544306922674628
,19,,0.9547138740222314,0.9545829892650702,0.0943871223561768,0.4502310942679797
,20,,0.9602305475504322,0.9603610997127616,0.0640372560764693,0.3412768247302447
,21,,0.9547138740222314,0.9543568464730292,0.0836388792805258,0.3781267634975158
,22,,0.955043227665706,0.9549579277346972,0.1008040090777939,0.4840076440923559
,23,,0.9594071634417456,0.9597583870704433,0.0683416152736414,0.4036341619578838
,24,,0.9581720872787156,0.9578423236514524,0.0963646640963122,0.4597415507291944
