Models,layer,accuracy,precision,recall,f1,auc,n_high,n_low
SmolLM2-360M,0,0.663966617574865,0.6856990394877268,0.6222760290556901,0.6524498603706524,0.7426659933447187,13768,13391
,1,0.8136966126656848,0.8338445807770961,0.7898305084745763,0.8112409848296444,0.893345682925624,13768,13391
,2,0.8568973981345115,0.8738647830474269,0.8387409200968523,0.8559426735853719,0.9331907144243158,13768,13391
,3,0.8730976926853216,0.8721153846153846,0.8784503631961259,0.8752714113389626,0.9476450404173952,13768,13391
,4,0.8848797250859106,0.882183908045977,0.8920096852300242,0.8870695882494583,0.9510924809302448,13768,13391
,5,0.894698085419735,0.9122983870967742,0.8765133171912833,0.8940479130649543,0.9567230754582586,13768,13391
,6,0.8937162493863525,0.9031620553359684,0.8852300242130751,0.8941061384201516,0.9585251356787916,13768,13391
,7,0.8969072164948454,0.9018075232046898,0.8939467312348668,0.8978599221789884,0.9585902181105124,13768,13391
,8,0.9013254786450664,0.9085995085995086,0.8953995157384987,0.9019512195121951,0.9628197325112056,13768,13391
,9,0.8976435935198822,0.8946360153256705,0.9046004842615012,0.8995906573561281,0.9620518803399232,13768,13391
