Models,layer,accuracy,f1_macro,chance
,16,0.7543224106701795,0.7535971718668212,0.3333333333333333
,17,0.7582743289972007,0.7570225592815909,0.3333333333333333
,18,0.7569570228881937,0.7559314468437828,0.3333333333333333
,19,0.7541577474065536,0.7525725646695006,0.3333333333333333
,20,0.7530051045611724,0.7521401024309688,0.3333333333333333
,21,0.7446072781162523,0.7434776682493877,0.3333333333333333
,22,0.7510291453976617,0.74978095962933,0.3333333333333333
,23,0.7449366046435041,0.7435782969077428,0.3333333333333333
,24,0.7482298699160217,0.7473022422887409,0.3333333333333333
,25,0.7497118392886547,0.7490003052464563,0.3333333333333333
,26,0.7465832372797628,0.7457390337689933,0.3333333333333333
,27,0.7431253087436193,0.7424755897211348,0.3333333333333333
Qwen3-4B-Base,0,0.6759426971842581,0.6664865355837577,0.3333333333333333
,1,0.7070640540095505,0.7029699900676661,0.3333333333333333
,2,0.7289642680717932,0.7269790495319387,0.3333333333333333
,3,0.7365387781985839,0.7343547647608722,0.3333333333333333
,4,0.7516877984521653,0.7509816189565107,0.3333333333333333
,5,0.7638728799604808,0.7626818172244928,0.3333333333333333
,6,0.773588012514408,0.7731846365040035,0.3333333333333333
,7,0.7798452165321916,0.7792559574668337,0.3333333333333333
,8,0.7813271859048246,0.780869121332854,0.3333333333333333
,9,0.7847851144409682,0.7848276781515594,0.3333333333333333
,10,0.7847851144409682,0.7850824648611452,0.3333333333333333
,11,0.7854437674954717,0.7848073910536587,0.3333333333333333
,12,0.7867610736044789,0.7862673103953384,0.3333333333333333
,13,0.7925242878313848,0.7917708750359566,0.3333333333333333
,14,0.7945002469948954,0.7939933440136943,0.3333333333333333
,15,0.7946649102585214,0.794524192803975,0.3333333333333333
,16,0.7966408694220319,0.7963854113132189,0.3333333333333333
,17,0.7846204511773424,0.7838960627453462,0.3333333333333333
,18,0.7898896756133706,0.7893709244640174,0.3333333333333333
,19,0.7941709204676437,0.7938799287424555,0.3333333333333333
,20,0.7897250123497448,0.7893488226018173,0.3333333333333333
,21,0.790877655195126,0.7901939031851147,0.3333333333333333
,22,0.7917009715132554,0.79058585589704,0.3333333333333333
,23,0.7846204511773424,0.7837814432346937,0.3333333333333333
,24,0.779351226741314,0.7789017727923172,0.3333333333333333
,25,0.7887370327679895,0.7884851013504889,0.3333333333333333
,26,0.7870904001317306,0.7866312601659251,0.3333333333333333
,27,0.7872550633953564,0.7865346994199057,0.3333333333333333
,28,0.7834678083319612,0.7829639635916578,0.3333333333333333
,29,0.783632471595587,0.7833584049411352,0.3333333333333333
,30,0.7757286349415445,0.774582644174398,0.3333333333333333
,31,0.7796805532685658,0.7786050910394616,0.3333333333333333
,32,0.7758932982051704,0.7746637936254062,0.3333333333333333
,33,0.7758932982051704,0.7754626829523081,0.3333333333333333
,34,0.7730940227235303,0.7722184301081132,0.3333333333333333
,35,0.7671661452329985,0.7659587144842462,0.3333333333333333
Llama-3.1-8B,0,0.6942203194467315,0.6882579625181062,0.3333333333333333
,1,0.7337395027169439,0.7302122598491648,0.3333333333333333
,2,0.7548164004610571,0.7537520647266066,0.3333333333333333
,3,0.7702947472418903,0.7701312829848767,0.3333333333333333
,4,0.7819858389593282,0.7824883307565496,0.3333333333333333
,5,0.7869257368681047,0.7878711572557973,0.3333333333333333
,6,0.7923596245677589,0.7929001297434947,0.3333333333333333
,7,0.7920302980405072,0.7924458517639917,0.3333333333333333
,8,0.7974641857401614,0.7990166892921874,0.3333333333333333
,9,0.7966408694220319,0.7972849211971491,0.3333333333333333
,10,0.7917009715132554,0.7917952048036275,0.3333333333333333
,11,0.7959822163675284,0.7964924714108658,0.3333333333333333
,12,0.798122838794665,0.7992975414636261,0.3333333333333333
,13,0.7992754816400461,0.7994748463854568,0.3333333333333333
,14,0.7940062572040177,0.7944573737954158,0.3333333333333333
,15,0.7938415939403919,0.794892981673093,0.3333333333333333
,16,0.7971348592129096,0.797677871563743,0.3333333333333333
,17,0.7913716449860037,0.7915728045732688,0.3333333333333333
,18,0.7907129919315001,0.789665619908858,0.3333333333333333
,19,0.7875843899226083,0.7868602254798729,0.3333333333333333
,20,0.790877655195126,0.7905540674813091,0.3333333333333333
,21,0.7969701959492838,0.7967554475993505,0.3333333333333333
,22,0.793676930676766,0.7933047003462689,0.3333333333333333
,23,0.7884077062407376,0.7876746032556845,0.3333333333333333
,24,0.7897250123497448,0.78900457371354,0.3333333333333333
,25,0.7805038695866952,0.7798150566417151,0.3333333333333333
,26,0.770788737032768,0.7698271193400726,0.3333333333333333
,27,0.7834678083319612,0.7830165659570443,0.3333333333333333
,28,0.7844557879137164,0.7840722919757055,0.3333333333333333
,29,0.780833196113947,0.7802708843133633,0.3333333333333333
,30,0.7757286349415445,0.775392736526037,0.3333333333333333
,31,0.7790219002140623,0.7794536384817802,0.3333333333333333
Qwen3-8B-Base,0,0.6505845545858719,0.640148495225278,0.3333333333333333
,1,0.6973489214556232,0.6907472651059742,0.3333333333333333
,2,0.7141445743454635,0.7082265597182514,0.3333333333333333
,3,0.7151325539272189,0.7108804370957857,0.3333333333333333
,4,0.7174378396179812,0.7135697174464654,0.3333333333333333
,5,0.7329161863988144,0.7295235222864193,0.3333333333333333
,6,0.7515231351885394,0.7479280508714541,0.3333333333333333
,7,0.7530051045611724,0.7514414219428631,0.3333333333333333
,8,0.7612382677424666,0.7598441613416064,0.3333333333333333
,9,0.7558043800428125,0.7541333923697469,0.3333333333333333
,10,0.759262308578956,0.7588382119839779,0.3333333333333333
,11,0.7604149514243372,0.7587965891875305,0.3333333333333333
,12,0.7609089412152149,0.7593784862370629,0.3333333333333333
,13,0.7627202371150996,0.7620123929119885,0.3333333333333333
,14,0.7642022064877326,0.7626821381370091,0.3333333333333333
,15,0.7630495636423514,0.761793547755046,0.3333333333333333
,16,0.7693067676601351,0.7680643198200633,0.3333333333333333
,17,0.766342828914869,0.765763974099217,0.3333333333333333
,18,0.7704594105055163,0.7692418431220158,0.3333333333333333
,19,0.7617322575333443,0.7609569617483207,0.3333333333333333
,20,0.7655195125967397,0.7649850513244093,0.3333333333333333
,21,0.7618969207969702,0.7604812260342287,0.3333333333333333
,22,0.7724353696690268,0.7715576806217976,0.3333333333333333
,23,0.7615675942697184,0.7613175925887519,0.3333333333333333
,24,0.7590976453153302,0.757688876701836,0.3333333333333333
,25,0.7595916351062078,0.7581007828531664,0.3333333333333333
,26,0.7623909105878478,0.7617577977389799,0.3333333333333333
,27,0.7604149514243372,0.7599020221873903,0.3333333333333333
